blind_id,split_name,source_market_raw_left,source_market_raw_right,source_seller_raw_left,source_seller_raw_right,alias_normalized_left,alias_normalized_right,alias_relation,item_count_left,item_count_right,shared_contact_count,shared_contact_types,shared_contact_values,shared_pgp_fingerprint_count,shared_pgp_fingerprint_values,pgp_alias_hit_count_left,pgp_alias_hit_count_right,shared_title_count,shared_title_values,shared_description_count,shared_description_values,shared_category_count,shared_category_values,left_preview,right_preview,raw_contact_occurrences_json,component_candidate_path_json,reviewer_a_decision,reviewer_a_rationale,reviewer_b_decision,reviewer_b_rationale,adjudicated_decision,adjudicator_id,adjudication_rationale
blind_00e18d0ad921234a8bfe,valid,中文暗网交易市场,茶马古道,516687,/shop/393476,516687,/shop/393476,different_alias,33,25,0,,,0,,0,0,0,,0,,0,,T: 20年8月份更新_富豪老板购别墅_房屋信息_高购买力名单 || 全国车主信息19G_2020四季度到2010整合 | D: 本数据包包含:宝妈姓名.身份证号码.宝妈出生日期.国籍.民族.手机.是否助产机构.孕产妇健康档案编号. 建档日期.宝妈住院病案号.孕次(含本次).产次(含本次).分娩方式.分娩日期 宝妈分娩日期就是宝宝出生日期 比如18年分娩的，今年宝宝1岁， 产次，说明生产过几次，有几个宝宝， 特别适合母婴类，或者针对女性 宝... | C: 数据资源 || 虚拟物品,T: 8.2万条富婆数据，单套房产在百万以上-几百万的女富婆！ || 6.8W宝妈数据，特适用母婴营销！ | D: 宝妈分娩日期就是宝宝出生日期， 比如18年分娩的，今年宝宝1岁， 产次，说明生产过几次，有几个宝宝， 特别适合母婴类，或者针对女性 宝妈的产品精准营销， 数据格式：宝妈姓名.身份证号码.宝妈出生日期.国籍.民族.手机.是否助产机构.孕产妇健康档案编号. 建档日期.宝妈住院病案号.孕次(含本次).产次(含本次).分... | C: 数据 || 担保私拍,[],[],different_controller,两账户都经营女性和宝妈数据，但商品池很常见，未见共享标题、描述或身份标识。,soft_same_controller,"No direct identifier is closed. '20年8月份更新_富豪老板购别墅_房屋信息_高购买力名单' and '8.2万条富婆数据，单套房产在百万以上-几百万的女富婆！' share a narrow offer/procurement style or listing structure, but topic/template reuse remains plausible.",different_controller,independent_adjudicator_c,"Only a common female and maternal data topic is shared. No identifier, exact text, or distinctive clone evidence is present."
blind_05bb3b6a280867225aa1,test,茶马古道,茶马古道,/shop/414687,/shop/415669,/shop/414687,/shop/415669,different_alias,1,2,0,,,0,,0,0,0,,0,,1,数据,T: 求购网贷数据 || 求购网贷数据 | D: 求购网贷数据，只要实时的历史不需要，有名字最好 没有名字也可以 | C: 数据,T: 求购5万宝妈手机信息 || 求购爆粉微信云控端 | D: 求购宝妈数据，只要实时的历史不需要，有名字最好 没有名字也可以 | C: 服务 || 数据,[],[],different_controller,两侧都是数据求购文案，但目标数据不同且没有共享标识或独特克隆。,soft_same_controller,"No direct identifier is closed. '求购网贷数据' and '求购5万宝妈手机信息' share a narrow offer/procurement style or listing structure, but topic/template reuse remains plausible.",different_controller,independent_adjudicator_c,"Both are data procurement listings, but they seek different data and share no identifier or distinctive clone."
blind_09c450de330c51b6dac2,test,茶马古道,茶马古道,/shop/428039,/shop/438208,/shop/428039,/shop/438208,different_alias,9,2,0,,,0,,0,0,0,,0,,1,数据,"T: 高价收购淘宝订单数据,网贷数据 || 高价寻求微信PC端电脑端多开软件 | D: 2:数据要求女性商品，如母婴，婴儿商品，如：女装，化妆品，母婴用品，童装等等，具体可以咨询 | C: 数据 || 技术","T: 收WD网贷数据,飞机@vip822, 蝙蝠3034964 || 收WD网贷数据,飞机@vip822 蝙蝠3034964, | C: 数据",[],[],uncertain,右侧标题出现 vip822，但本行左侧原始证据没有对应出现，无法按逐侧证据闭合身份。,soft_same_controller,"No direct identifier is closed. '高价收购淘宝订单数据,网贷数据' and '收WD网贷数据,飞机@vip822, 蝙蝠3034964' share a narrow offer/procurement style or listing structure, but topic/template reuse remains plausible.",different_controller,independent_adjudicator_c,"Only the loan-data procurement topic overlaps. vip822 appears on the right only, so identity is not bilaterally closed."
blind_0a67617e78f5482d09e4,valid,中文暗网交易市场,茶马古道,592056,/shop/406792,592056,/shop/406792,different_alias,2,1,0,,,0,,0,0,0,,1,优点是获取的都是最近登录的访客，而不是几个月前甚至几年前的用户，时效性高，适宜电销运控,0,,T: 每日更新一手棋牌QP彩票体育联通运营商数据 || 每日更新一手股票股民期货移动运营商数据 | D: 拍下请留言需要屏蔽的地区（未留言当全地区）以及行业，空停有问题号，包换包退 价格 0.2元/条，每份1万条，需要多少量直接拍 | C: 数据资源,T: ★★★★★【 运营商数据 】★★★★★ 移动联通电信三网指定抓取 || ★★★★★【 运营商数据 】★★★★★ 移动联通电信三网指定抓取 | D: 移动联通电信三网运营商大数据指定网站、app访客手机获取： 获取指定网站访客、app登录访客手机号码 | C: 数据,[],[],different_controller,一侧出售行业筛选运营商数据，另一侧提供指定访客抓取，业务相关但文本和身份未闭合。,soft_same_controller,"Exact overlap (T=0, D=1) includes '优点是获取的都是最近登录的访客，而不是几个月前甚至几年前的用户，时效性高，适宜电销运控'; no direct seller identifier closes the pair, so template/product reuse remains plausible.",soft_same_controller,independent_adjudicator_c,"A long and specific operator-visitor recency sentence is exactly shared, providing strong clone evidence but no direct identity closure."
blind_1289167dc050cc3b3229,test,中文暗网交易市场,中文暗网交易市场,156043,33465,156043,33465,different_alias,1,1,0,,,0,,0,0,0,,0,,1,数据资源,T: 当当网1318万|30W+90后妹子信息|7000Wqq+密码|2014年宜人贷真想| || 当当网1318万|30W+90后妹子信息|7000Wqq+密码|2014年宜人贷真想| | C: 数据资源,T: 当当网买家信息-101万 || 当当网买家信息-101万 | D: ------------------------------- 下单麻烦提供邮箱 邮箱发货 ------------------------------- 赠送网易邮箱密码数据下载链接 赠送全国1200w 法人信息 ------------------------------- | C: 数据资源,[],[],different_controller,两侧销售不同规模和字段的当当数据，公共数据源相同即可解释。,soft_same_controller,"No direct identifier is closed. '当当网1318万|30W+90后妹子信息|7000Wqq+密码|2014年宜人贷真想|' and '当当网买家信息-101万' share a narrow offer/procurement style or listing structure, but topic/template reuse remains plausible.",different_controller,independent_adjudicator_c,The listings offer different sizes and fields of Dangdang data. A common public data source explains the topic overlap.
blind_53973a17541efc2a70e4,test,中文暗网交易市场,茶马古道,311141,/shop/427472,311141,/shop/427472,different_alias,1,3,0,,,0,,0,0,0,,0,,0,,T: 6套对公账户，顺丰包邮 || 6套对公账户，顺丰包邮 | D: 6套对公，含：营业执照正副本、预留手机号码、网银U盾、结算卡、开户许可证、三章（公章，财务章，法人章），建设银行，地区：020，抬头：商贸 | C: 实体物品,T: 出售银行卡四件套对公账户一手货源 需要 加Qv同步：80854991 || 出售银行卡四件套对公账户一手货源 需要 飞机：@ss612 | D: 一手货源公户四件套安全可靠 需要的老板联系：QQVX:80854991 欢迎详谈 | C: 四件套号卡,[],[],different_controller,两侧都销售账户套件，但右侧有独立联系方式，商品数量和文案不形成闭合。,soft_same_controller,"No direct identifier is closed. '6套对公账户，顺丰包邮' and '出售银行卡四件套对公账户一手货源 需要 加Qv同步：80854991' share a narrow offer/procurement style or listing structure, but topic/template reuse remains plausible.",different_controller,independent_adjudicator_c,"Only the account-kit product class overlaps. Quantity, wording, delivery, and the unilateral contact differ."
blind_54f5d863a8d9d5c4b81d,test,茶马古道,茶马古道,/shop/406486,/shop/407157,/shop/406486,/shop/407157,different_alias,3,1,0,,,0,,0,0,0,,0,,1,数据,T: Excel8.5M全国小姐信息（信息标题，联系方式，详细地址，信息来源，小姐数量，小姐年龄，小姐素质，小姐外形，服务项目，价格一览，营业时间，环境设备，安全评） || 搭建黄网教程 | D: 包含：id 信息标题 所属地区 详细地址 信息来源 小姐数量 小姐年龄 小姐素质 小姐外形 服务项目 价格一览 营业时间 环境设备 安全评估 联系方式 综合评价 详细介绍 | C: 虚拟 || 服务,T: 走遍z国搜集的小姐信息 || 走遍z国搜集的小姐信息 | D: 都是老狼友实测过的，这价格绝对值 信息标题，联系方式，详细地址，信息来源，小姐数量，小姐年龄，小姐素质，小姐外形，服务项目，价格一览，营业时间，环境设备，安全评+ | C: 数据,[],[],different_controller,仅商品数据字段和类别相近，没有共享标题、描述或身份标识，符合共同题材解释。,soft_same_controller,"No direct identifier is closed. 'Excel8.5M全国小姐信息（信息标题，联系方式，详细地址，信息来源，小姐数量，小姐年龄，小姐素质，小姐外形，服务...' and '走遍z国搜集的小姐信息' share a narrow offer/procurement style or listing structure, but topic/template reuse remains plausible.",soft_same_controller,independent_adjudicator_c,"The two sides use a highly similar long ordered field list for the same dataset type, supporting a strong clone but not direct identity."
blind_76f80824d8521c20e953,valid,中文暗网交易市场,茶马古道,363589,/shop/432946,363589,/shop/432946,different_alias,1,2,0,,,0,,0,0,0,,0,,0,,T: 梦芭莎女性购物数据 || 梦芭莎女性购物数据 | D: 老数据 姓名 地址 电话 邮箱 自动发货 40W | C: 数据资源,T: 脱库信用卡信息8月份10W条 姓名+电话+卡号+身份证+开户行 || 37万条2020年4-6月京东女性购物数据(自动发货） | D: 内容包含例：258121005868945 杨杰文 13427382828 440783198810306632 6217995890002991128 中国邮政储蓄银行股份有限公司云浮市分行 注：数据具有复制性，一经出售改不退换~~ | C: 数据,[],[],different_controller,两侧销售不同类型和来源的数据，只有数据商品大类重合。,uncertain,"Both sellers list female-shopping datasets, but no direct identifier or exact shared text is exposed; common inventory and shared control remain indistinguishable.",different_controller,independent_adjudicator_c,The sellers offer different data types and sources. Female-shopping data is the only broad topic overlap.
blind_8eff7ba17f75aa570863,valid,茶马古道,茶马古道,/shop/407049,/shop/444654,/shop/407049,/shop/444654,different_alias,2,1,0,,,0,,0,0,0,,0,,0,,T: 大量四件套定制1500保两个月! || 私人定制四件套 | D: 诚信出售各类银行四件套，可根据情况定制、可实名制注册微信支付宝，交易所等，诚信出售正规实名制手机卡，一手带队靠谱货源，保质 ， 15美金=100rmb，1份=100rmb，请根据需求拍下 标准三件套:银行卡+身份正反面照片+加实名预留手机号码 1300/套 标准四件套：银行卡+身份证正反面照片+实名预留手机卡+U... | C: 四件套号卡,T: 出 四 件 套 || 出 四 件 套 | D: 15美金=100人民币，1份=100人民币，请根据需求拍下 纯四件套：银行卡+身份证正反面照片+实名预留手机卡+U盾 价格:2000元/一套 需实名注册微信加500 实名注册支付宝加500 实名注册交易平台加500 带手机加800 请根据需要拍下，留言写下具体要求 | C: 实物,[],[],different_controller,仅同属四件套商品，价格和交付描述不同，缺乏共享身份或足够强的独特克隆。,soft_same_controller,"No direct identifier is closed. '大量四件套定制1500保两个月!' and '出 四 件 套' share a narrow offer/procurement style or listing structure, but topic/template reuse remains plausible.",soft_same_controller,independent_adjudicator_c,"Pricing language, account-kit composition, and add-on registration prices are highly aligned, supporting a strong structural clone only."
blind_a4da899a012151f4a1a5,test,茶马古道,茶马古道,/shop/414476,/shop/466869,/shop/414476,/shop/466869,different_alias,2,1,0,,,0,,0,0,0,,0,,1,数据,T: 求购一手山西，内蒙，成都，大学生，高中生在读学生家长数据 || 长期收购一手高中生，大学生带家长数据，不是一手的勿扰 | D: 求购一手山西，内蒙，成都，大学生，高中生在读学生家长数据，注意，学生家长，在读生，一手的来，二手勿扰 | C: 数据,T: 求购国内学生家长数据，不是一手的别来 || 求购国内学生家长数据，不是一手的别来 | D: 求购一手在读学生家长数据，不是一手的别来 | C: 数据,[],[],different_controller,两侧均求购学生家长数据，但范围和文案为常见行业需求，没有身份闭合。,soft_same_controller,"No direct identifier is closed. '求购一手山西，内蒙，成都，大学生，高中生在读学生家长数据' and '求购国内学生家长数据，不是一手的别来' share a narrow offer/procurement style or listing structure, but topic/template reuse remains plausible.",different_controller,independent_adjudicator_c,Student-parent data and first-hand-only wording are common procurement language; scope and wording differ and identity is not closed.
