pair_uid,data_bucket,candidate_language,candidate_scope,review_stratum,core_transfer_eligible,seller_uid_left,seller_uid_right,source_market_raw_left,source_market_raw_right,same_market_raw_bool,same_source_dataset_bool,review_priority,review_status,review_label,profile_category_jaccard,has_shared_title_clone,has_shared_description_clone,has_shared_contact_exact,has_shared_pgp_fingerprint,shared_title_count_capped,shared_description_count_capped,shared_category_count_capped,shared_contact_count_capped,shared_pgp_fingerprint_count_capped,boilerplate_ratio_left,boilerplate_ratio_right,boilerplate_ratio_max,boilerplate_ratio_gap_abs,shared_title_idf_sum,shared_description_idf_sum,shared_title_idf_mean,shared_description_idf_mean,shared_boilerplate_count,shared_low_df_sentence_count,shared_rare_ngram_count,candidate_rule_count_raw,sparse_lexical_similarity_raw,structural_support_score_raw,left_market_profile_size,right_market_profile_size,item_count_percentile_gap_abs,price_median_percentile_gap_abs,title_length_median_percentile_gap_abs,description_length_median_percentile_gap_abs,digit_ratio_mean_percentile_gap_abs,punct_ratio_mean_percentile_gap_abs,repeated_title_share_percentile_gap_abs,repeated_description_share_percentile_gap_abs,max_category_share_percentile_gap_abs,uppercase_ratio_mean_percentile_gap_abs,item_count_raw_gap_abs,price_median_raw_gap_abs,title_length_median_raw_gap_abs,description_length_median_raw_gap_abs,digit_ratio_mean_raw_gap_abs,punct_ratio_mean_raw_gap_abs,repeated_title_share_raw_gap_abs,repeated_description_share_raw_gap_abs,max_category_share_raw_gap_abs,uppercase_ratio_mean_raw_gap_abs
products_data.csv|__unknown__|seller_id:1880883||products_data.csv|__unknown__|seller_id:1889980,zh_target_aux,zh,sockpuppet_primary,text_clone_primary,1,products_data.csv|__unknown__|seller_id:1880883,products_data.csv|__unknown__|seller_id:1889980,__unknown__,__unknown__,1,1,high,pending,,1.0,1,1,0,0,1,5,1,0,0,0.0,0.0,0.0,0.0,6.414618,57.731562,6.414618,6.414618,0,0,0,4,1.0,1.0,673,673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
products_data.csv|__unknown__|seller_id:566317||products_data.csv|__unknown__|seller_id:588456,zh_target_aux,zh,sockpuppet_primary,text_clone_primary,1,products_data.csv|__unknown__|seller_id:566317,products_data.csv|__unknown__|seller_id:588456,__unknown__,__unknown__,1,1,high,pending,,1.0,1,1,0,0,1,1,1,0,0,0.0,0.0,0.0,0.0,6.414618,6.414618,6.414618,6.414618,0,0,0,4,0.811196,0.667982,673,673,0.172619,0.180059,0.043155,0.007441,0.215773,0.010417,0.0,0.0,0.0,0.035715,1.0,133.5,1.0,1.0,0.047073,0.002182,0.0,0.0,0.0,0.003286
products_data.csv|__unknown__|seller_id:187565||products_data.csv|__unknown__|seller_id:49925,zh_target_aux,zh,sockpuppet_primary,text_clone_primary,1,products_data.csv|__unknown__|seller_id:187565,products_data.csv|__unknown__|seller_id:49925,__unknown__,__unknown__,1,1,high,pending,,1.0,0,1,0,0,0,5,1,0,0,0.0,0.0,0.0,0.0,0,35.422752,0.0,5.903792,0,0,0,3,0.976748,0.982628,673,673,0.0,0.074405,0.122024,0.0,0.007441,0.008929,0.0,0.0,0.0,0.004464,0.0,1.0,19.0,0.0,0.001553,0.003856,0.0,0.0,0.0,0.000233
products_data.csv|__unknown__|seller_id:425820||products_data.csv|__unknown__|seller_id:665332,zh_target_aux,zh,sockpuppet_primary,text_clone_primary,1,products_data.csv|__unknown__|seller_id:425820,products_data.csv|__unknown__|seller_id:665332,__unknown__,__unknown__,1,1,high,pending,,1.0,0,1,0,0,0,2,1,0,0,0.0,0.0,0.0,0.0,0,11.981938,0.0,5.990969,0,0,0,3,0.930599,0.940351,673,673,0.0,0.026786,0.0625,0.032738,0.014881,0.011905,0.0,0.0,0.0,0.433036,0.0,4.0,1.0,29.0,0.00106,0.00053,0.0,0.0,0.0,0.05455
products_data.csv|__unknown__|seller_id:342919||products_data.csv|__unknown__|seller_id:75066,zh_target_aux,zh,sockpuppet_primary,text_clone_primary,1,products_data.csv|__unknown__|seller_id:342919,products_data.csv|__unknown__|seller_id:75066,__unknown__,__unknown__,1,1,high,pending,,0.25,1,1,0,0,1,2,1,0,0,0.0,0.0,0.0,0.0,5.903792,5.903792,5.903792,5.903792,0,0,0,4,0.609926,0.605601,673,673,0.028273,0.098214,0.488095,0.028274,0.037202,0.33631,0.0,0.0,0.007441,0.041667,3.0,11.9,10.0,8.5,0.003373,0.039302,0.0,0.0,0.055555,0.005537
products_data.csv|__unknown__|seller_id:506844||products_data.csv|__unknown__|seller_id:528850,zh_target_aux,zh,sockpuppet_primary,text_clone_primary,1,products_data.csv|__unknown__|seller_id:506844,products_data.csv|__unknown__|seller_id:528850,__unknown__,__unknown__,1,1,high,pending,,1.0,0,1,0,0,0,3,1,0,0,0.555556,0.428571,0.555556,0.126985,0,27.318224,0.0,5.463645,3,0,0,3,0.819613,0.937903,673,673,0.0,0.025297,0.159226,0.068452,0.096726,0.047619,0.0,0.0,0.0,0.125,0.0,39.0,4.0,64.0,0.011474,0.010065,0.0,0.0,0.0,0.008175
products_data.csv|__unknown__|seller_id:319180||products_data.csv|__unknown__|seller_id:65684,zh_target_aux,zh,sockpuppet_primary,text_clone_primary,1,products_data.csv|__unknown__|seller_id:319180,products_data.csv|__unknown__|seller_id:65684,__unknown__,__unknown__,1,1,high,pending,,1.0,0,1,0,0,0,5,1,0,0,0.0,0.0,0.0,0.0,0,34.328826,0.0,5.721471,0,0,0,3,0.867791,0.743621,673,673,0.172619,0.138393,0.458333,0.142857,0.089286,0.013393,0.0,0.0,0.0,0.139881,1.0,4.1,16.0,454.5,0.013583,0.001406,0.0,0.0,0.0,0.011042
products_data.csv|__unknown__|seller_id:28409||products_data.csv|__unknown__|seller_id:697110,zh_target_aux,zh,sockpuppet_primary,text_clone_primary,1,products_data.csv|__unknown__|seller_id:28409,products_data.csv|__unknown__|seller_id:697110,__unknown__,__unknown__,1,1,high,pending,,1.0,0,1,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,6.126936,0.0,6.126936,0,0,0,3,0.68582,0.957579,673,673,0.0,0.019345,0.044642,0.056548,0.004464,0.0625,0.0,0.0,0.0,0.002976,0.0,3.0,2.0,135.0,0.001181,0.004673,0.0,0.0,0.0,0.000178
products_data.csv|__unknown__|seller_id:569984||products_data.csv|__unknown__|seller_id:640120,zh_target_aux,zh,sockpuppet_primary,text_clone_primary,1,products_data.csv|__unknown__|seller_id:569984,products_data.csv|__unknown__|seller_id:640120,__unknown__,__unknown__,1,1,high,pending,,0.5,0,1,0,0,0,1,1,0,0,0.333333,0.6,0.6,0.266667,0,16.301367,0.0,5.433789,3,0,0,2,0.830905,0.411161,673,673,0.245536,0.614584,0.427083,0.379465,0.0,0.141369,0.0,0.0,0.837798,0.230655,2.0,880.0,10.0,117.0,0.0,0.01929,0.0,0.0,0.333333,0.042772
products_data.csv|__unknown__|seller_id:504679||products_data.csv|__unknown__|seller_id:569161,zh_target_aux,zh,sockpuppet_primary,text_clone_primary,1,products_data.csv|__unknown__|seller_id:504679,products_data.csv|__unknown__|seller_id:569161,__unknown__,__unknown__,1,1,high,pending,,1.0,0,1,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0,5.903792,0.0,5.903792,0,0,0,3,0.743846,0.618374,673,673,0.172619,0.44494,0.063989,0.071428,0.145833,0.126489,0.0,0.0,0.0,0.150298,1.0,225.0,2.5,24.0,0.021643,0.024313,0.0,0.0,0.0,0.092156
products_data.csv|__unknown__|seller_id:523073||products_data.csv|__unknown__|seller_id:523216,zh_target_aux,zh,sockpuppet_primary,text_clone_primary,1,products_data.csv|__unknown__|seller_id:523073,products_data.csv|__unknown__|seller_id:523216,__unknown__,__unknown__,1,1,high,pending,,1.0,0,1,0,0,0,1,1,0,0,0.25,0.166667,0.25,0.083333,0,11.037476,0.0,5.518738,1,0,0,3,0.723876,0.647863,673,673,0.172619,0.110119,0.544642,0.037202,0.040179,0.040179,0.0,0.0,0.0,0.263393,1.0,1080.0,11.0,1068.0,0.080005,0.031329,0.0,0.0,0.0,0.018264
