candidate_uid,platform_vendor_id,cohort_id,cohort_seller_uid,item_uid,source_dataset,source_record_index,source_csv_line_number_end,source_sequence,transaction_id,title,category,description,item_record_sha256,manifest_row_sha256
v8_identity_control_component_closure_171b034ab6e8894a0e922c2e,554111,A,products_data.csv|identity_control|seller_id:554111|cohort:A,products_data.csv|record:1688|sha256:b860b2e9e67ed8d78cdb,products_data.csv,1688,1689,103,37914,反侦查手册教你化险为夷,教程与文档,本教程分2个方面（适用于贩毒和各类案件）  1-直邮取件注意事项（同样适用于国内收货）  2-一旦翻车，Cop审问逻辑，你该如何回答，并帮助你安全脱险，包括以下4小点： 1.出事后你将面临的流程 2.涉及的相关法律 3.口供 4.态度  本文纯手工打制，结合自己多年经验，当初因为自己一次失足，吃了3年公粮，吃一堑长十智，教你如何化险为夷，这篇文章有可能是你人生的转折点，只出售3美金，拍一份自动发货，有什么不懂的可以留言，我每天都在线，帮你们解答，由于本文可复制性，不接受退款，收到货请尽快放币，谢谢！,b860b2e9e67ed8d78cdbdfca556992650ec556984b55480036dc9666478e90e6,58ea2f78b921d35b852741c2d7d500fd1f63f40e4ab37269012b5f4758f6a589
v8_identity_control_component_closure_171b034ab6e8894a0e922c2e,554111,A,products_data.csv|identity_control|seller_id:554111|cohort:A,products_data.csv|record:1940|sha256:56aca7e048f88ac17854,products_data.csv,1940,1941,58,38094,大麻120一个,实体发货商品,欧洲直邮，7-15天左右到达，3天左右提供跟踪单号，收不到货，可重新发货，再次收不到可退款，对于国内客户我们有丰富的包装经验，成功率99.8％，几乎0失误，下单送反侦查手册（直邮取件指南），保证你的万无一失，收到货请尽快放款，方便下次合作。  品种：Pineapple Kush THC;21% CBD;0.16% 7克-1270元 （拍18份） 28克-3800元（拍54份） 56克-6700元（拍95份）   名: 地址： 省份：省，市，区（县） 邮编：区县邮编 国家： 电话：  收到货尽快放币，方便下次合作,56aca7e048f88ac1785443912b57ce950239dbbfb218d4004f1e778f0c654441,59146982585beaf0aab7619c2e455b309f3f592f4860775c4fc42439b902acf8
v8_identity_control_component_closure_171b034ab6e8894a0e922c2e,554111,A,products_data.csv|identity_control|seller_id:554111|cohort:A,products_data.csv|record:1987|sha256:e7a23b64ec48ee800f8c,products_data.csv,1987,1988,105,37577,荷兰进口LSD200ug,实体发货商品,荷兰进口LSD，100%保证正品无苦味，挂号信，无需身份证领取，7天左右出单号，15-30天左右到达（价格很优惠急躁症勿拍）特殊物品发货后不予退款，未收到货可退款或补发，隐身很安全放心收货。  56贴：3900元（拍55份）  112贴：5700元（拍81份）  224贴:9200元（拍130份）  颜色随机，ug和质量都是一样的  名: 地址： 省份：省，市，区（县） 邮编：区县邮编 国家： 电话：,e7a23b64ec48ee800f8c71b78280e92795a0ae2006fb578253f349ba14f4a41b,e626a58ff0ae776bf5ebb9eed10641881e2af8170e951362ce01b7870108c4dd
v8_identity_control_component_closure_171b034ab6e8894a0e922c2e,554111,A,products_data.csv|identity_control|seller_id:554111|cohort:A,products_data.csv|record:2004|sha256:6efd67cd1fff790bc44a,products_data.csv,2004,2005,122,38048,猪肉650一个,实体发货商品,欧洲直邮，7-20天左右到达（平均天数），3天左右提供跟踪单号，收不到货，可重新发货，再次收不到可退款，对于国内客户我们有丰富的包装经验，成功率99.8％，几乎0失误，下单送反侦查手册（直邮取件指南），保证你的万无一失，收到货请尽快放款，方便下次合作。   10克-6500元（拍91份）  92％ 1.甲基由麻黄碱制成。 2.100％气味诱饵（防犬）和检测证明 3.真空密封 4.防X射线 5.所有产品具有最大的隐身性  名: 地址： 省份：省，市，区（县） 邮编：区县邮编 国家： 电话：,6efd67cd1fff790bc44a96877ca620959917c06092b0e275e65ee544032c5ab5,4e02c430b0c43af911131c4f7a08c41ccecfbbd227fd4f656ec5a6609b5b6a6a
v8_identity_control_component_closure_171b034ab6e8894a0e922c2e,554111,B,products_data.csv|identity_control|seller_id:554111|cohort:B,products_data.csv|record:1980|sha256:5223d1dce1886fa1ae1a,products_data.csv,1980,1981,98,39803,LSD国内发货,实体发货商品,荷兰正品实验室出品，240ug，无苦味，国内发货，不发新疆，西藏。  5贴-1300元（拍19份）  10贴-2400元（拍35份）  50贴-10000元（拍146份）  收到货确认无误，请尽快放币，方便下次合作,5223d1dce1886fa1ae1ad390cd5eed0001e06d086a29a5eb3cb4d71611d5db78,99bb7af0125b98c8c15532693899bf221732ecf16cc465dddc9e1031eed2bb65
v8_identity_control_component_closure_171b034ab6e8894a0e922c2e,554111,B,products_data.csv|identity_control|seller_id:554111|cohort:B,products_data.csv|record:1984|sha256:9c40409991d813cc5694,products_data.csv,1984,1985,102,37859,欧洲进口LSD250ug35元贴,实体发货商品,欧洲进口LSD，250ug，100%保证正品无苦味，2左右出单号，7-15天左右到达，未收到货全额退款或补发，下单送直邮取件指南，保证你的万无一失。  50贴：3200元（拍45份） 100贴：5800元（拍82份） 250贴:12500元（拍177份） 500贴：20000元（拍282份） 1000贴：35000元（拍495份）   名: 地址： 省份：省，市，区（县） 邮编：区县邮编 国家： 电话：  收到产品验证无误，请尽快放币，方便下次合作。,9c40409991d813cc56944657c62c4e60118f5fe8cdb1468e9bcd0edd3e766e5c,e685aaa9e342ee4036952763b72536806d04bbb8239d066fc123d9cbbe70bb5a
v8_identity_control_component_closure_171b034ab6e8894a0e922c2e,554111,B,products_data.csv|identity_control|seller_id:554111|cohort:B,products_data.csv|record:2013|sha256:e8546a10a0fe7550ad6d,products_data.csv,2013,2014,131,37977,GHB迷奸水昏迷水,实体发货商品,荷兰直邮，15天左右到达，2天出单号，收不到货可补发，在收不到可退款，本人只做进口货，直邮成功率99.8％几乎0失误，下单送反侦查手册（直邮取件指南），那些所谓的国产货的质量和安全你们考虑考虑吧！  纯度：95％ 100ml-3000元（拍42份）  200ml-4500元（拍63份）  剂量： 1ml-2ml-30分钟左右起效，特别想做爱，延长性爱时间，女生更加妩媚，温柔，3小时左右下来 （有效治疗抑郁症、焦虑、紧张，1-2ml是最幸福的剂量，善于交流，开心）  3ml-6ml-10分钟左右昏迷，时长4小时左右，让你摆弄，醒来什么都不记得，脑子空白  用法：融于水中，饮料等等  名: 地址： 省份：省，市，区（县） 邮编：区县邮编 国家： 电话：  收到货请尽快放币，方便下次合作！,e8546a10a0fe7550ad6d49eaa1882d5618002e8d6ed9badad351d94a75a62439,f9ec88c003f3e9cc6ba2691612b520496a682a96c3f0d13a37ee1bd5a958b4f7
v8_identity_control_component_closure_1737f7aba4fe33f370e116ba,70239,A,products_data.csv|identity_control|seller_id:70239|cohort:A,products_data.csv|record:696|sha256:31598d31782cdce5f9e8,products_data.csv,696,697,201,18128,怎样逃避追查及反侦察资料,技术服务[非教程],1，资料内容如图所示，有需要的可以尝鲜学习了解。  2，常年从事黑产或者不想被条子轻易咬住的老哥建议学习一下，毕竟反侦察意识很重要。  3，拍下自动显示MEGA盘链接，安全保密，翻墙后谷歌浏览器打开下载。,31598d31782cdce5f9e8851637b4cf1eb9027b99d193f6bb5b5ebe0096b47012,04d7d113f9c9040637783fd062b646e368c68d619a4fbb3410009e108b0f296d
v8_identity_control_component_closure_1737f7aba4fe33f370e116ba,70239,A,products_data.csv|identity_control|seller_id:70239|cohort:A,products_data.csv|record:1817|sha256:a1683f64c25e09c33db5,products_data.csv,1817,1818,233,31472,怎样应付中共国安骚扰,教程与文档,"1,本帖教你怎样妥善应付中共国安骚扰？不要以为国安离你很遥远，公安，国安，武警，特警，网警等等分别管控你的不同方面，就算你自己不涉及违法犯罪，你亲属朋友同事如果不幸连累到你，你最好也能从容应对，更何况从事黑产灰产，怎么可能不被国安等盯上，早做防范为好。  2，主要内容； A;国安是干什么的？国安部门的绩效考核主要围绕四部分工作。 B;请你茶的人来自什么部门？ C；谈话目标的特征（也就是你） D;你被谈话前国安掌握了哪些信息？ E;国安能对你造成什么伤害？ F;跟你谈话喝茶时国安会让你做什么？ G；你应付谈话喝茶的注意事项和策略。  3，拍下自动显示MEGA下载链接，安全保密，翻墙后谷歌浏览器打开。没问题请及时结算，谢谢。祝你安全平安！",a1683f64c25e09c33db5cf18294775c9f84dbcdf058f5e890187f71698cffaad,0475fc779b595d0fcf7f1b7d61c67e3c8a9be12fcb10927a1f1cf4ba5c5b049c
v8_identity_control_component_closure_1737f7aba4fe33f370e116ba,70239,A,products_data.csv|identity_control|seller_id:70239|cohort:A,products_data.csv|record:1842|sha256:901fc22fb03538d4765a,products_data.csv,1842,1843,258,38347,刑事犯罪注意事项手冊547条,教程与文档,1，还记得名侦探柯南吗？每一集都会教你一条犯罪知识。当然这里不是柯南，没有那么文艺，就是血淋淋地教你怎么尽量完美地刑事犯罪，比如杀人，抢劫，下毒，偷越边境，毁尸灭迹，迷奸强奸，消灭证据等等关于刑事犯罪几乎一切的注意事项。具体如截图所示。  2，手册总共547条，相信掌握了这些，面对条子就如同如履平地，稳得一比。具体拿来干什么，犯罪，预防侦查，还是好奇尝鲜学习，就是你的事了。  3，拍下自动显示MEGA 链接，安全保密，翻墙状态下谷歌浏览器打开下载即可。得文件也请主动放币，谢谢。,901fc22fb03538d4765abf3f9be5d9e171607bd5ce9dfcac3f227077f2b9f4cc,c5898725ffbc0955e83d7ed00731af21937bc6f8ee6d3a829d1ccc2d2ff8afd9
