"path","type","bytes","reason"
"reports\deprecated_step5_v3_calibrated_bge_20260420","directory","165951","stale reports snapshot/archive directory requested for removal"
"reports\step10_backbone_snapshot_20260326","directory","97892","stale reports snapshot/archive directory requested for removal"
"reports\step10_feature_ablation_snapshot_20260326","directory","143497","stale reports snapshot/archive directory requested for removal"
"reports\step10_raw_vs_relative_snapshot_20260326","directory","82169","stale reports snapshot/archive directory requested for removal"
"reports\step11_archive_before_corrected_calibrated_default_20260420","directory","104257702","stale reports snapshot/archive directory requested for removal"
"reports\step11_archive_core_calibrated_bge_m3_before_override_20260420","directory","2593016","stale reports snapshot/archive directory requested for removal"
"reports\step11_cluster_level_audit_summary.codex_20260420.json","file","1156","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9"
"reports\step11_cluster_level_audit_summary.codex_20260421.json","file","1193","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9"
"reports\step11_cluster_level_audit.codex_20260420.csv","file","420842","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9"
"reports\step11_cluster_level_audit.codex_20260421.csv","file","438677","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9"
"reports\step11_cluster_level_audit.current_20260422.csv","file","442327","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9"
"reports\step11_cluster_level_audit.current_20260422.json","file","4900","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9"
"reports\step11_cluster_manual_review_edges.current_20260422.csv","file","76228","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9"
"reports\step11_cluster_manual_review_edges.strict_direct_all.current_20260422.csv","file","503738","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9"
"reports\step11_cluster_manual_review_edges.strict_direct.current_20260422.csv","file","80145","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9"
"reports\step11_cluster_manual_review.current_20260422.csv","file","14544","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9"
"reports\step11_cluster_manual_review.current_20260422.json","file","1462","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9"
"reports\step11_cluster_manual_review.strict_direct_all.current_20260422.csv","file","114787","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9"
"reports\step11_cluster_manual_review.strict_direct_all.current_20260422.json","file","1792","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9"
"reports\step11_cluster_manual_review.strict_direct.current_20260422.csv","file","14457","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9"
"reports\step11_cluster_manual_review.strict_direct.current_20260422.json","file","1506","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9"
"reports\step11_core_calibrated_bge_m3_clustering_summary.json","file","35011","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9"
"reports\step11_core_calibrated_bge_m3_zh_target_strict_clusters.threshold_0400000.csv","file","49410","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9"
"reports\step11_core_calibrated_bge_m3_zh_target_strict_clusters.threshold_0403772.csv","file","34115","stale Step 11 output; current Step 11 must be regenerated after refreshed Step 9"
