slice_name,model_id,row_count,positive_count,negative_count,prevalence,unstable_slice,bootstrap_mode,valid_bootstrap_resamples,valid_two_level_bootstrap_resamples,metric_semantics_version,pr_auc_definition,roc_auc,average_precision,average_precision_prevalence_lift,pr_auc,accuracy,balanced_accuracy,f1,precision,recall,roc_auc_ci_low,roc_auc_ci_high,roc_auc_two_level_ci_low,roc_auc_two_level_ci_high,average_precision_ci_low,average_precision_ci_high,average_precision_two_level_ci_low,average_precision_two_level_ci_high,pr_auc_ci_low,pr_auc_ci_high,pr_auc_two_level_ci_low,pr_auc_two_level_ci_high,average_precision_prevalence_lift_ci_low,average_precision_prevalence_lift_ci_high,average_precision_prevalence_lift_two_level_ci_low,average_precision_prevalence_lift_two_level_ci_high
all_test,raw_e5_cosine,200,50,150,0.25,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.748,0.542839,2.171356,0.537092,0.785,0.696667,0.547368,0.577778,0.52,0.6470683,0.83974195,0.6470683,0.83974195,0.39524548,0.68131332,0.39524548,0.68131332,0.37738155,0.6730795,0.37738155,0.6730795,1.6401478,3.07258157,1.6401478,3.07258157
all_test,raw_labse_cosine,200,50,150,0.25,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.813333,0.608477,2.433908,0.603705,0.775,0.663333,0.494382,0.564103,0.44,0.73741148,0.88662897,0.73741148,0.88662897,0.47250772,0.73847022,0.47250772,0.73847022,0.4570789,0.7332454,0.4570789,0.7332454,1.90783233,3.41321338,1.90783233,3.41321338
all_test,raw_bge_m3_cosine,200,50,150,0.25,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.748933,0.526585,2.10634,0.519155,0.795,0.663333,0.493827,0.645161,0.4,0.66058505,0.83818045,0.66058505,0.83818045,0.38849258,0.68287757,0.38849258,0.68287757,0.37000007,0.67272267,0.37000007,0.67272267,1.60453991,2.98275217,1.60453991,2.98275217
all_test,step9_labse_lr_l2_100pct_seed_mean,200,50,150,0.25,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.831333,0.613971,2.455884,0.609461,0.755,0.743333,0.595041,0.507042,0.72,0.75487253,0.89780587,0.75487253,0.89780587,0.46472305,0.7642061,0.46472305,0.7642061,0.4518312,0.75858837,0.4518312,0.75858837,1.90936206,3.41779237,1.90936206,3.41779237
all_test,step9_e5_lr_l2_100pct_seed_mean,200,50,150,0.25,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.765467,0.575633,2.302532,0.571561,0.785,0.61,0.376812,0.684211,0.26,0.66742387,0.84869155,0.66742387,0.84869155,0.42836783,0.71720042,0.42836783,0.71720042,0.41765035,0.7120439,0.41765035,0.7120439,1.7856086,3.2161312,1.7856086,3.2161312
all_test,step9_bge_m3_residual_lr_100pct_seed_mean,200,50,150,0.25,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.794267,0.556358,2.225432,0.551159,0.785,0.663333,0.494118,0.6,0.42,0.7123914,0.865571,0.7123914,0.865571,0.40035607,0.71048345,0.40035607,0.71048345,0.38753955,0.70280987,0.38753955,0.70280987,1.74114184,3.06764387,1.74114184,3.06764387
all_test,step9_e5_mixup_100pct_seed_mean,200,50,150,0.25,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.7596,0.562753,2.251012,0.557987,0.695,0.67,0.504065,0.424658,0.62,0.66597,0.84300362,0.66731388,0.84326615,0.4119414,0.70520302,0.41122853,0.70788442,0.3976371,0.69978335,0.39696133,0.70092345,1.73192345,3.15107966,1.7330472,3.1583494
all_test,step9_identifier_operational_100pct_seed_mean,200,50,150,0.25,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.863333,0.783364,3.133456,0.781853,0.84,0.733333,0.619048,0.764706,0.52,0.7897612,0.9290765,0.7897612,0.9290765,0.65745162,0.88648187,0.65745162,0.88648187,0.6522919,0.88508205,0.6522919,0.88508205,2.48672297,4.35650343,2.48672297,4.35650343
all_test,step15_v6_source_only_lr_l2,200,50,150,0.25,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.732133,0.519494,2.077976,0.514127,0.755,0.61,0.395062,0.516129,0.32,0.63485263,0.82390432,0.63471268,0.8238107,0.3617538,0.68582865,0.3621287,0.68629315,0.34628675,0.6793644,0.34629365,0.68071685,1.55712903,2.96558906,1.55175133,2.97233482
all_test,step7_source_only_default_fusion,200,50,150,0.25,False,primary_split_component_fixed_seed_mean_with_supplemental_two_level_seed_and_component,5000,5000,2026-07-v2-tie-aware,trapezoidal_area_under_tie_grouped_precision_recall_curve,0.604,0.358422,1.433688,0.416444,0.54,0.573333,0.410256,0.301887,0.64,0.49645868,0.7090809,0.49645868,0.7090809,0.24011878,0.50127653,0.24011878,0.50127653,0.2772526,0.56221642,0.2772526,0.56221642,1.0956603,2.05638781,1.0956603,2.05638781
