pair_uid,data_bucket,candidate_language,candidate_scope,review_stratum,core_transfer_eligible,seller_uid_left,seller_uid_right,source_market_raw_left,source_market_raw_right,same_market_raw_bool,same_source_dataset_bool,review_priority,review_status,review_label,profile_category_jaccard,has_shared_title_clone,has_shared_description_clone,has_shared_contact_exact,has_shared_pgp_fingerprint,shared_title_count_capped,shared_description_count_capped,shared_category_count_capped,shared_contact_count_capped,shared_pgp_fingerprint_count_capped,boilerplate_ratio_left,boilerplate_ratio_right,boilerplate_ratio_max,boilerplate_ratio_gap_abs,shared_title_idf_sum,shared_description_idf_sum,shared_title_idf_mean,shared_description_idf_mean,shared_boilerplate_count,shared_low_df_sentence_count,shared_rare_ngram_count,candidate_rule_count_raw,sparse_lexical_similarity_raw,structural_support_score_raw,left_market_profile_size,right_market_profile_size,item_count_percentile_gap_abs,price_median_percentile_gap_abs,title_length_median_percentile_gap_abs,description_length_median_percentile_gap_abs,digit_ratio_mean_percentile_gap_abs,punct_ratio_mean_percentile_gap_abs,repeated_title_share_percentile_gap_abs,repeated_description_share_percentile_gap_abs,max_category_share_percentile_gap_abs,uppercase_ratio_mean_percentile_gap_abs,item_count_raw_gap_abs,price_median_raw_gap_abs,title_length_median_raw_gap_abs,description_length_median_raw_gap_abs,digit_ratio_mean_raw_gap_abs,punct_ratio_mean_raw_gap_abs,repeated_title_share_raw_gap_abs,repeated_description_share_raw_gap_abs,max_category_share_raw_gap_abs,uppercase_ratio_mean_raw_gap_abs,embedding_cosine_gte_multilingual_base,embedding_cosine_bge_m3,embedding_cosine_multilingual_e5_large,embedding_cosine_labse,embedding_cosine_paraphrase_multilingual_mpnet,reranker_score_gte_multilingual_reranker_base,reranker_score_bge_reranker_v2_m3,source_seller_raw_left,source_seller_raw_right,alias_normalized_left,alias_normalized_right,scoring_experiment_name,score_rank_desc,prob_positive,relation_reliability_score,relation_reliability_pass,relation_reliability_direct_identity_support,relation_reliability_semantic_topic_only,relation_reliability_style_consistency,relation_reliability_components,edge_score_final,edge_at_threshold_0470000,edge_at_threshold_0800000,edge_at_threshold_0900000
market_item.xlsx|中文暗网交易市场|seller_raw:167147||market_item.xlsx|中文暗网交易市场|seller_raw:65684,zh_target_strict,zh,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|中文暗网交易市场|seller_raw:167147,market_item.xlsx|中文暗网交易市场|seller_raw:65684,中文暗网交易市场,中文暗网交易市场,1,1,high,pending,,1.0,1,1,0,0,5,5,2,0,0,0.0,0.0,0.0,0.0,50.340264,71.859999,8.390044,7.984444,0,9,6,4,0.872602,0.999537,2468,2468,0.0,0.0,0.0,0.0,0.012161,0.000405,0.0,0.0,0.0,0.029185,0.0,0.0,0.0,0.0,0.002008,1e-06,0.0,0.0,0.0,0.001696,0.999105,0.99482,0.992374,0.995228,0.988494,0.675261,0.047474,167147,65684,167147,65684,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260322,1,0.999384,0.73,1,0,0,1.0,+rare_description_clone:0.150 || +rare_title_clone:0.100 || +rare_ngram_support:0.080 || +structural_support:0.120 || +style_consistency:0.080,0.729551,1,1,1
market_item.xlsx|中文暗网交易市场|seller_raw:344175||market_item.xlsx|茶马古道|seller_raw:/shop/1239,zh_target_strict,zh,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|中文暗网交易市场|seller_raw:344175,market_item.xlsx|茶马古道|seller_raw:/shop/1239,中文暗网交易市场,茶马古道,0,1,high,pending,,0.0,1,1,0,0,4,5,0,0,0,0.0,0.0,0.0,0.0,0,33.751964,0.0,8.437991,0,4,0,3,0.23944,0.351792,2468,2629,0.036347,0.262606,0.088707,0.097832,0.262953,0.068961,0.015536,0.028717,0.001017,0.06293,14.0,5.499875,1.0,55.5,0.006963,0.002751,0.0,0.0,0.0,0.009325,0.986341,0.878201,0.937348,0.932717,0.858172,0.709366,0.063577,344175,/shop/1239,344175,/shop/1239,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260322,2,0.998698,0.43,1,0,0,0.934055,+rare_description_clone:0.150 || +style_consistency:0.080,0.42944,1,1,1
market_item.xlsx|中文暗网交易市场|seller_raw:538752||market_item.xlsx|茶马古道|seller_raw:/shop/397934,zh_target_strict,zh,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|中文暗网交易市场|seller_raw:538752,market_item.xlsx|茶马古道|seller_raw:/shop/397934,中文暗网交易市场,茶马古道,0,1,high,pending,,0.0,1,1,0,0,5,3,0,0,0,0.0,0.0,0.0,0.0,25.313973,42.189955,8.437991,8.437991,0,5,3,3,0.589996,0.387534,2468,2629,0.017263,0.178374,0.183642,0.294085,0.227857,0.135984,0.015536,0.005444,0.0,0.085425,7.0,49.99908,5.0,0.0,0.018351,0.008514,0.0,0.085858,0.0,0.009262,0.995561,0.939308,0.950178,0.963706,0.979424,0.928516,0.025953,538752,/shop/397934,538752,/shop/397934,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260322,3,0.998143,0.61,1,0,0,0.889296,+rare_description_clone:0.150 || +rare_title_clone:0.100 || +rare_ngram_support:0.080 || +style_consistency:0.080,0.608867,1,1,1
market_item.xlsx|中文暗网交易市场|seller_raw:542584||market_item.xlsx|茶马古道|seller_raw:/shop/399905,zh_target_strict,zh,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|中文暗网交易市场|seller_raw:542584,market_item.xlsx|茶马古道|seller_raw:/shop/399905,中文暗网交易市场,茶马古道,0,1,high,pending,,0.0,1,1,0,0,5,3,0,0,0,0.0,0.0,0.0,0.0,8.437991,24.004641,8.437991,8.001547,0,3,1,3,0.367905,0.450342,2468,2629,0.004856,0.179916,0.010126,0.256108,0.230492,0.142115,0.015536,0.028717,0.132319,0.017626,4.0,19.99944,0.0,6.0,0.007352,0.008487,0.0,0.0,0.135842,0.003213,0.992876,0.916961,0.940763,0.957287,0.94995,0.747281,0.123043,542584,/shop/399905,542584,/shop/399905,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260322,4,0.997548,0.53,1,0,0,0.919482,+rare_description_clone:0.150 || +rare_title_clone:0.100 || +style_consistency:0.080,0.5287,1,1,1
market_item.xlsx|中文暗网交易市场|seller_raw:595944||market_item.xlsx|茶马古道|seller_raw:/shop/439854,zh_target_strict,zh,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|中文暗网交易市场|seller_raw:595944,market_item.xlsx|茶马古道|seller_raw:/shop/439854,中文暗网交易市场,茶马古道,0,1,high,pending,,0.0,1,1,0,0,5,3,0,0,0,0.0,0.0,0.0,0.0,16.875982,8.437991,8.437991,8.437991,0,1,2,3,0.64306,0.417318,2468,2629,0.016429,0.001811,0.072127,0.25679,0.102637,0.232445,0.015536,0.023853,0.707002,0.048464,7.0,82.99704,1.5,6.0,0.013428,0.018123,0.0,0.052632,0.038462,0.000417,0.989379,0.965074,0.96456,0.939949,0.89348,0.788755,0.041648,595944,/shop/439854,595944,/shop/439854,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260322,5,0.996014,0.61,1,0,0,0.939704,+rare_description_clone:0.150 || +rare_title_clone:0.100 || +rare_ngram_support:0.080 || +style_consistency:0.080,0.607568,1,1,1
market_item.xlsx|中文暗网交易市场|seller_raw:342919||market_item.xlsx|茶马古道|seller_raw:/shop/398325,zh_target_strict,zh,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|中文暗网交易市场|seller_raw:342919,market_item.xlsx|茶马古道|seller_raw:/shop/398325,中文暗网交易市场,茶马古道,0,1,high,pending,,0.0,1,1,0,0,5,2,0,0,0,0.0,0.0,0.0,0.0,25.313973,8.437991,8.437991,8.437991,0,1,3,3,0.501564,0.405393,2468,2629,0.002721,0.316915,0.163187,0.208373,0.156721,0.02068,0.015131,0.027907,0.118082,0.059028,13.0,29.99972,3.5,17.5,0.009281,0.010072,0.02381,0.02381,0.06486,0.005992,0.991667,0.909714,0.961236,0.958742,0.942648,0.846693,0.049087,342919,/shop/398325,342919,/shop/398325,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260322,6,0.994219,0.61,1,0,0,0.911445,+rare_description_clone:0.150 || +rare_title_clone:0.100 || +rare_ngram_support:0.080 || +style_consistency:0.080,0.606474,1,1,1
market_item.xlsx|中文暗网交易市场|seller_raw:598691||market_item.xlsx|茶马古道|seller_raw:/shop/455140,zh_target_strict,zh,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|中文暗网交易市场|seller_raw:598691,market_item.xlsx|茶马古道|seller_raw:/shop/455140,中文暗网交易市场,茶马古道,0,1,high,pending,,0.0,1,1,0,0,4,2,0,0,0,0.0,0.0,0.0,0.0,16.875982,0,8.437991,0.0,0,0,2,3,0.31389,0.417483,2468,2629,0.022668,0.100686,0.071305,0.021229,0.066388,0.199283,0.015536,0.028717,0.061367,0.105388,4.0,97.99817,2.0,153.0,0.018874,0.029926,0.0,0.0,0.140272,0.000511,0.991026,0.921952,0.936962,0.966378,0.785421,0.655511,0.123951,598691,/shop/455140,598691,/shop/455140,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260322,7,0.992624,0.46,1,0,0,0.936122,+rare_title_clone:0.100 || +rare_ngram_support:0.080 || +style_consistency:0.080,0.456607,1,1,1
market_item.xlsx|茶马古道|seller_raw:/shop/449035||market_item.xlsx|茶马古道|seller_raw:/shop/461222,zh_target_strict,zh,sockpuppet_primary,identifier_plus_text,1,market_item.xlsx|茶马古道|seller_raw:/shop/449035,market_item.xlsx|茶马古道|seller_raw:/shop/461222,茶马古道,茶马古道,1,1,high,pending,,0.4,1,1,1,0,4,5,2,1,0,0.0,0.0,0.0,0.0,33.751964,33.464282,8.437991,8.36607,0,4,4,4,0.710652,0.546737,2629,2629,0.055175,0.128996,0.187214,0.052131,0.238584,0.236302,0.0,0.0,0.0,0.206241,5.0,10.0,5.5,17.5,0.044407,0.025437,0.0,0.0,0.0,0.02293,0.992911,0.89714,0.944062,0.954724,0.94644,0.666203,0.319222,/shop/449035,/shop/461222,/shop/449035,/shop/461222,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260322,8,0.992545,1.0,1,1,0,0.907914,+shared_seller_contact:0.350 || +rare_description_clone:0.150 || +rare_title_clone:0.100 || +rare_ngram_support:0.080 || +structural_support:0.120 || +style_consistency:0.080,0.992545,1,1,1
market_item.xlsx|中文暗网交易市场|seller_raw:597091||market_item.xlsx|茶马古道|seller_raw:/shop/439316,zh_target_strict,zh,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|中文暗网交易市场|seller_raw:597091,market_item.xlsx|茶马古道|seller_raw:/shop/439316,中文暗网交易市场,茶马古道,0,1,high,pending,,0.0,1,1,0,0,2,5,0,0,0,0.0,0.0,0.0,0.0,16.875982,65.606809,8.437991,8.200851,0,8,2,3,1.0,0.499756,2468,2629,0.08277,0.253369,0.062292,0.100142,0.157619,0.064469,0.015536,0.028717,0.0,0.014592,0.0,14.99972,0.0,0.5,0.000197,0.001794,0.0,0.0,0.0,0.0,0.996617,0.983263,0.983095,0.996644,0.989358,0.77933,0.071115,597091,/shop/439316,597091,/shop/439316,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260322,9,0.983268,0.61,1,0,0,0.936619,+rare_description_clone:0.150 || +rare_title_clone:0.100 || +rare_ngram_support:0.080 || +style_consistency:0.080,0.599793,1,1,1
market_item.xlsx|中文暗网交易市场|seller_raw:565911||market_item.xlsx|茶马古道|seller_raw:/shop/824,zh_target_strict,zh,sockpuppet_primary,text_clone_primary,1,market_item.xlsx|中文暗网交易市场|seller_raw:565911,market_item.xlsx|茶马古道|seller_raw:/shop/824,中文暗网交易市场,茶马古道,0,1,high,pending,,0.0,1,1,0,0,3,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,2,0.0,0.29158,2468,2629,0.111034,0.617906,0.068342,0.058309,0.162262,0.001381,0.015536,0.028717,0.152197,0.054177,11.0,1799.99974,8.0,558.0,0.001781,0.101584,0.0,0.0,0.254902,0.014978,0.964901,0.884152,0.910989,0.897448,0.814785,0.69014,0.033904,565911,/shop/824,565911,/shop/824,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260322,10,0.981554,0.28,0,0,0,0.936674,+style_consistency:0.080,0.274835,1,1,1
