audit_version,audit_cluster_set_id,decision,confidence,recommended_action,rationale,unique_seller_count,scorer_appearance_count,best_scorer_token,best_family,best_source_summary,best_cluster_id,best_cluster_rank,best_graph_threshold,max_cluster_score_mean,max_edge_count,max_contact_edges,max_pgp_edges,max_identifier_edges,max_title_clone_edges,max_description_clone_edges,edge_stratum_counts,top_categories,contact_member_preview_count,seller_raw_members,appearances
codex_step11_cluster_level_audit_current_manifest,fe95424056fa,same_controller_high_confidence,high,can_support_same_controller_core_claim,All retained edges in the strongest observed cluster are identifier/contact anchored.,8,3,identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260320,step9,reports\step11_identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260320_clustering_summary.json,zh_target_strict_identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260320_thr_0460000_c0001,1,0.46,0.971664,13,13,0,13,0,0,identifier_primary:39,数据资源,0,361068 || 446965 || 45068 || 465763 || 501102 || 537697 || 596304 || 70840,identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260320:rank1:thr0460000 || identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260321:rank1:thr0460000 || identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260322:rank1:thr0460000
codex_step11_cluster_level_audit_current_manifest,974e847b7611,same_controller_high_confidence,high,can_support_same_controller_core_claim,All retained edges in the strongest observed cluster are identifier/contact anchored.,7,3,identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260320,step9,reports\step11_identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260320_clustering_summary.json,zh_target_strict_identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260320_thr_0460000_c0003,3,0.46,0.984899,12,12,0,12,0,0,identifier_primary:36,数据资源 | 私人专拍,0,121394 || 149940 || 157835 || 312538 || 435064 || 436422 || 95895,identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260320:rank3:thr0460000 || identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260321:rank3:thr0460000 || identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260322:rank3:thr0460000
codex_step11_cluster_level_audit_current_manifest,c2790ea101e6,same_controller_high_confidence,high,can_support_same_controller_core_claim,All retained edges in the strongest observed cluster are identifier/contact anchored.,4,4,core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260320,step9,reports\step11_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260320_clustering_summary.json,zh_target_strict_core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260320_thr_0735000_c0015,15,0.735,0.834675,5,5,0,5,0,0,identifier_primary:20,数据资源 | 私人专拍,0,121394 || 157835 || 435064 || 95895,core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260320:rank15:thr0735000 || core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260321:rank15:thr0735000 || core_few_shot_bge_m3_residual_lr_ratio_100pct_seed_20260322:rank15:thr0735000 || core_zero_shot_bge_m3:rank21:thr0483444
codex_step11_cluster_level_audit_current_manifest,676ce82c6984,same_controller_high_confidence,high,can_support_same_controller_core_claim,All retained edges in the strongest observed cluster are identifier/contact anchored.,3,3,identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260320,step9,reports\step11_identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260320_clustering_summary.json,zh_target_strict_identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260320_thr_0460000_c0009,9,0.46,0.999823,3,3,0,3,1,3,identifier_plus_text:9,数据 | 数据资源 | 虚拟 | 服务,3,/shop/3501 || /shop/9484 || 564091,identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260320:rank9:thr0460000 || identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260321:rank9:thr0460000 || identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260322:rank9:thr0460000
codex_step11_cluster_level_audit_current_manifest,a4039451e1fa,same_controller_high_confidence,high,can_support_same_controller_core_claim,All retained edges in the strongest observed cluster are identifier/contact anchored.,3,4,identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260320,step9,reports\step11_identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260320_clustering_summary.json,zh_target_strict_identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260320_thr_0460000_c0013,13,0.46,0.879501,3,3,0,3,0,0,identifier_primary:12,数据 | 技术 | 四件套号卡,3,/shop/396538 || /shop/409272 || /shop/9838,core_zero_shot_bge_m3:rank47:thr0483444 || identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260320:rank13:thr0460000 || identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260321:rank13:thr0460000 || identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260322:rank13:thr0460000
codex_step11_cluster_level_audit_current_manifest,ca5b7018ea12,same_controller_high_confidence,high,can_support_same_controller_core_claim,All retained edges in the strongest observed cluster are identifier/contact anchored.,3,3,identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260320,step9,reports\step11_identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260320_clustering_summary.json,zh_target_strict_identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260320_thr_0460000_c0012,12,0.46,0.888916,3,3,0,3,0,0,identifier_primary:9,数据资源 | 私人专拍,0,534628 || 562478 || 605663,identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260320:rank12:thr0460000 || identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260321:rank12:thr0460000 || identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260322:rank12:thr0460000
codex_step11_cluster_level_audit_current_manifest,f7f70f2184be,same_controller_high_confidence,high,can_support_same_controller_core_claim,All retained edges in the strongest observed cluster are identifier/contact anchored.,3,4,identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260320,step9,reports\step11_identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260320_clustering_summary.json,zh_target_strict_identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260320_thr_0460000_c0011,11,0.46,0.984366,3,3,0,3,0,0,identifier_primary:12,数据资源 | 私人专拍 | 技术技能 | 虚拟物品 | 数据,1,/shop/400997 || 51470 || 54210,core_zero_shot_bge_m3:rank38:thr0483444 || identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260320:rank11:thr0460000 || identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260321:rank11:thr0460000 || identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260322:rank11:thr0460000
codex_step11_cluster_level_audit_current_manifest,99153ceddb34,same_controller_core_with_possible_expansion,high,use_only_identifier_core_for_claim; review_expansion_edges_separately,Multiple identifier/contact edges support a same-controller core; non-identifier expansion must be kept separate.,9,3,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320,step9,reports\step11_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320_clustering_summary.json,zh_target_strict_core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320_thr_0470000_c0002,2,0.47,0.597128,13,3,0,3,3,3,identifier_primary:9 | semantic_only:3 | semantic_structural:18 | text_clone_primary:9,数据资源 | 私人专拍 | 数据,0,/shop/446569 || 121394 || 149940 || 312538 || 395687 || 430378 || 596096 || 605607 || 605912,core_few_shot_labse_lr_l2_ratio_100pct_seed_20260320:rank2:thr0470000 || core_few_shot_labse_lr_l2_ratio_100pct_seed_20260321:rank2:thr0470000 || core_few_shot_labse_lr_l2_ratio_100pct_seed_20260322:rank2:thr0470000
codex_step11_cluster_level_audit_current_manifest,161e8345632c,partial_anchor,medium,retain_anchor_pair/core; do_not_claim_full_cluster_without_pair_level_rereview,"At least one direct identifier/contact edge exists, but the component also contains template or semantic expansion.",7,3,identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260320,step9,reports\step11_identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260320_clustering_summary.json,zh_target_strict_identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260320_thr_0460000_c0004,4,0.46,0.744405,13,1,0,1,0,2,identifier_plus_text:3 | semantic_only:6 | semantic_structural:27 | text_clone_primary:3,实物 | 四件套号卡 | 洗车精洗 | 实体物品,6,/shop/403489 || /shop/435963 || /shop/442431 || /shop/444654 || /shop/459141 || /shop/462494 || 593068,identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260320:rank4:thr0460000 || identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260321:rank4:thr0460000 || identifier_augmented_few_shot_default_lr_l2_ratio_100pct_seed_20260322:rank4:thr0460000
codex_step11_cluster_level_audit_current_manifest,89eb3036748e,partial_anchor,medium,retain_anchor_pair/core; do_not_claim_full_cluster_without_pair_level_rereview,"At least one direct identifier/contact edge exists, but the component also contains template or semantic expansion.",6,1,core_zero_shot_bge_m3,step7,reports\step11_core_zero_shot_bge_m3_clustering_summary.json,zh_target_strict_core_zero_shot_bge_m3_thr_0483444_c0003,3,0.483444,0.505249,9,1,0,1,3,9,identifier_plus_text:1 | text_clone_primary:8,技术 | 服务 | 实物 | 担保私拍 | 站内充提 | 虚拟 | 四件套号卡,3,/shop/398130 || /shop/448945 || /shop/452097 || /shop/452596 || /shop/463004 || /shop/463446,core_zero_shot_bge_m3:rank3:thr0483444
