balanced_review_rank,pair_uid,data_bucket,candidate_language,candidate_scope,review_stratum,review_priority,review_status,review_label,reviewer_id,review_notes,soft_same_alias_continuity_bool,usable_for_supervision,usable_for_core_transfer,split_name,split_component_id,split_component_size,seller_uid_left,seller_uid_right,source_market_raw_left,source_market_raw_right,source_seller_raw_left,source_seller_raw_right,alias_relation,same_market_raw,candidate_rule_hits,candidate_rank_score,lexical_similarity,structural_support_score,shared_contact_count,shared_contact_values,shared_title_count,shared_title_values,shared_description_count,shared_description_values,shared_category_count,shared_category_values,shared_pgp_fingerprint_count,shared_pgp_fingerprint_values,left_preview,right_preview
1,market_item.xlsx|apollon market|seller_raw:Bestbars (100%)||market_item.xlsx|apollon market|seller_raw:keranvends (100%),en_content_train_pool,en,sockpuppet_primary,identifier_plus_text,high,reviewed,positive,codex_seed_v1,Shared Wickr identifiers plus multiple cloned titles and descriptions in the same market.,0,1,1,train,comp_00062,1,market_item.xlsx|apollon market|seller_raw:Bestbars (100%),market_item.xlsx|apollon market|seller_raw:keranvends (100%),apollon market,apollon market,Bestbars (100%),keranvends (100%),different_alias,true,profile_lexical_neighbor|shared_contact_exact|shared_description_clone|shared_title_clone|structural_support,23.201116,0.754679,0.836521,3,wickr:wikcr || wickr:bengelsukai || wickr:keraniquet,9,★★★★★5g Etizolam-Powder--Real & Pure Quality-Sample Price || ★★★★★100g Alprazolam(Alp)-Powder--Real & Pure Quality || 3-hopcp---Abslotely Best Quality Ever--10g FREE SHIP || Crystal 3fpvp (Flakka) 10g || 5fmdmb-2201 10g (synthetic cannabinoid),10,2F-DCK-2-Fluorodeschloroketamine *KETAMINE* REPLACMENT BETTER THAN THE REAL THING. EXCELLENT PRICES. 2-Fluorodeschloroketamine *KETAMINE* REPLACMENT BETTER THAN THE REAL THING. ... || you can mix your sheets and smoke it. Ohh this feels so good and it's really strong and knocks a moffo within minutes. Overdose may make you vomit because shit is very strong. T... || the same type of drug as ketamine. From here on out I will refer to it as ‘2F-DCK’ for simplicity. This- dissociative anesthetic is an analogue of ketamine drug is very good and...,5,Benzodiazepines || Cannabis & Hashish || Disassociatives || Ecstasy MDMA || Stimulants,0,,T: 100g 2F-DCK-2-Fluorodeschloroketamine *KETAMINE* REPLACMENT BETTER THAN THE REAL THING. EXCELLENT... || K2 Drug | D: 2-Fluorodeschloroketamine * KETAMINE * REPLACMENT BETTER (2F-DCK) FIRST OF ALL I HAVE TO SAY IM AN EXPERIENCED USER OF KET AND IN MY OPINION THIS IS BETTER. ... | C: Stimulants || Benzodiazepines,T: 2F-DCK-2-Fluorodeschloroketamine *KETAMINE* REPLACMENT BETTER THAN THE REAL THING. EXCELLENT PRIC... || JWH-081 Synthethic Spice(K2 Drug) 15g | D: 2F-DCK-2-Fluorodeschloroketamine *KETAMINE* REPLACMENT BETTER THAN THE REAL THING. EXCELLENT PRICES. FIRST OF ALL I HAVE TO SAY IM AN EXPERIENCED USER OF KET... | C: Benzodiazepines || Stimulants
2,market_item.xlsx|apollon market|seller_raw:cocaineuk1 (98%)||market_item.xlsx|apollon market|seller_raw:ukcocaine (100%),en_content_train_pool,en,sockpuppet_primary,text_clone_primary,high,reviewed,positive,codex_seed_v1,Near-identical cocaine catalog and description copy with explicit alias-migration wording.,0,1,1,train,comp_00105,1,market_item.xlsx|apollon market|seller_raw:cocaineuk1 (98%),market_item.xlsx|apollon market|seller_raw:ukcocaine (100%),apollon market,apollon market,cocaineuk1 (98%),ukcocaine (100%),different_alias,true,profile_lexical_neighbor|shared_description_clone|shared_title_clone|structural_support,18.778264,0.972221,0.972469,0,,17,0.2 GM U.K TO U.K SOCIABLE 75% PURE (NOT WASHABLE) || 3.5 GM U.K TO U.K SOCIABLE 75% PURE (NOT WASHABLE) || 0.5 GM U.K TO U.K SOCIABLE 75% PURE (NOT WASHABLE) || 14 GM U.K TO U.K SOCIABLE 75% PURE (NOT WASHABLE) || 7 GM U.K TO U.K 90% PURE COCAINE(WASHABLE),2,mainly those trying to scam us for a freebie. I plead with everyone to eradicate this rubbish and help a vendor who looks out for his customers || due to this small group of people doing this we will now blacklist those we believe to be cheating,1,Stimulants,0,,T: 3.5 GM U.K TO U.K 98% PURE COCAINE(WASHABLE) CLONE || 7 GM U.K TO U.K 90% PURE COCAINE(WASHABLE) | D: NEW BATCH HAS ARRIVED (PEARL WHITE PETROLEUM SMELL) (PRICE DROP) ( SOME SAD VENDOR HAS TAKEN OUR NAME COCAINEUK BUT NOW WE ARE CALLED COCAINEUK1 ) TOP BOLIVI... | C: Stimulants,T: 3.5 GM U.K TO U.K 98% PURE COCAINE(WASHABLE) || 0.2 GM U.K TO U.K SOCIABLE 75% PURE (NOT WASHABLE) | D: NEW BATCH HAS ARRIVED (05/12/2019) (PEARL WHITE PETROLEUM SMELL) (PRICE DROP) GRILLA STAMP TOP BOLIVIAN SNOW BLOW 98% PURITY CREAMY COCAINE FLAKE. TOP QUALIT... | C: Stimulants
3,market_item.xlsx|silk road 3.1|seller_raw:Ahero||market_item.xlsx|silk road 3.1|seller_raw:Bnnemannen,en_content_train_pool,en,sockpuppet_primary,semantic_structural,medium,reviewed,negative,codex_seed_v1,Only generic placeholder title and description; no seller-specific overlap.,0,1,1,valid,comp_00167,64,market_item.xlsx|silk road 3.1|seller_raw:Ahero,market_item.xlsx|silk road 3.1|seller_raw:Bnnemannen,silk road 3.1,silk road 3.1,Ahero,Bnnemannen,different_alias,true,profile_lexical_neighbor|structural_support,8.0,1.0,1.0,0,,0,,0,,1,Weed,0,,T: No Item Name || No Item Name | D: No Description Specified | C: Weed,T: No Item Name || No Item Name | D: No Description Specified | C: Weed
4,market_item.xlsx|Lime|seller_raw:Benzopharma||market_item.xlsx|agartha market|seller_raw:vinicius12,en_content_train_pool,en,sockpuppet_primary,identifier_primary,high,reviewed,positive,codex_seed_v1,Shared Wickr handle across two illicit seller profiles; contact overlap is specific enough to support same-operator linkage.,0,1,1,test,comp_00029,2,market_item.xlsx|Lime|seller_raw:Benzopharma,market_item.xlsx|agartha market|seller_raw:vinicius12,Lime,agartha market,Benzopharma,vinicius12,different_alias,false,profile_lexical_neighbor|shared_contact_exact,10.26602,0.696222,0.044344,1,wickr:eurodeals23,0,,0,,0,,0,,"T: Buy IDs, Drivers license and passport || Real Dollars money | D: Buy real but fake DOLLARS and loaded credit cards with very high balance at very affordable prices. Each card has a balance of $5000 which is withdrawn at AT... | C: Drugs,Opiates,Oxycodone || Counterfeit Items","T: Suboxone 8mg strips || Dilaudid | D: from OUR online Pharmacy at very affordable prices with the best quality with or without prescription. For other Brands and Milligrams of this product kindly... | C: Pills,Pain Management || Opiates,Other"
5,market_item.xlsx|silk road 3.1|seller_raw:hitler123||market_item.xlsx|silk road 3.1|seller_raw:mcpickles,en_content_train_pool,en,sockpuppet_primary,semantic_only,medium,reviewed,negative,codex_seed_v1,Generic corrupted placeholder listing without seller-specific evidence.,0,1,1,valid,comp_00211,19,market_item.xlsx|silk road 3.1|seller_raw:hitler123,market_item.xlsx|silk road 3.1|seller_raw:mcpickles,silk road 3.1,silk road 3.1,hitler123,mcpickles,different_alias,true,profile_lexical_neighbor,6.736706,1.0,0.368353,0,,0,,0,,0,,0,,T: Listing title corrupted. Add new title. || Listing title corrupted. Add new title. | C: Weed,T: Listing title corrupted. Add new title. || Listing title corrupted. Add new title. | D: No Description Specified | C: Others
6,market_item.xlsx|Cartel|seller_raw:melvinbankz||market_item.xlsx|tor2door market|seller_raw:Melvinbankz,en_content_train_pool,en,same_alias_identity_continuity,same_alias_continuity,high,reviewed,positive,codex_seed_v1,Same alias continuity across markets with shared email and cloned fraud listings; audit only.,1,0,0,audit_only,,,market_item.xlsx|Cartel|seller_raw:melvinbankz,market_item.xlsx|tor2door market|seller_raw:Melvinbankz,Cartel,tor2door market,melvinbankz,Melvinbankz,same_alias,false,profile_lexical_neighbor|shared_contact_exact|shared_description_clone|shared_title_clone,22.178768,0.802392,0.432208,1,email:melvinbankzofficial@secmail.pro,11,"Huobi exchange account with $5k balance, comes with cookie and useragent || Local Bitcoin account + email access+ $2500+ balance+useragent+cookie || btcalpha verified account with $5k balance and comes with cookie + email access || BINANCE HACKED ACCOUNT WITH $5.3k BALANCE/email login/cookie/useragent/guide || MAKING MONEY THE LEGIT WAY BY TRADING CRYPTOCURRENCY WITH MY SECRET STRATEGY",10,China Union Pay Laser creditcard cc cvv credit debit charge card wells frago hansa chase bank of america boa capital cashapp cashapp paypal account fraud dark market cc apple gu... || etc. It is not my responsibility to teach you how to use the accounts so please make sure you know how to use the item your purchasing. Triggering the security features during a... || This Pack Comes With A Massive List Of Easy Poor Security Websites To Card As Well. You Will Get This Listing Within 24 Hours Keywords: cashout working 2020 2020 method ultimate...,0,,0,,"T: Westernunion HACKED ACCOUNT WITH $5k card or bank BALANCE/email login/cookie/useragent/guide || Local Bitcoin account + email access+ $2500+ balance+useragent+cookie | D: Login Password Email and password IP Country Address useragent Cash out guide cookie For more information DM or contact with the following profile below Emai... | C: Fraud,Accounts & Bank Drops || Guides & Tutorials,Fraud","T: Bypass any 2FA verification paypal,bank logs,google with evilginx 2021 || Huobi exchange account with $5k balance, comes with cookie and useragent | D: Login Password Email and password IP Country Address useragent Cash out guide cookie For more information DM or contact with the following profile below Emai... | C: Digital"
7,market_item.xlsx|agartha market|seller_raw:Rodrigomendez||market_item.xlsx|agartha market|seller_raw:truu00,en_content_train_pool,en,sockpuppet_primary,identifier_plus_text,high,reviewed,positive,codex_seed_v1,Shared Wickr plus repeated sales copy and overlapping product families.,0,1,1,train,comp_00030,94,market_item.xlsx|agartha market|seller_raw:Rodrigomendez,market_item.xlsx|agartha market|seller_raw:truu00,agartha market,agartha market,Rodrigomendez,truu00,different_alias,true,profile_lexical_neighbor|shared_contact_exact|shared_description_clone|shared_title_clone|structural_support,21.803138,0.552489,0.744102,1,wickr:plug32,7,"Hybrid ; Blueberry Haze.OG KUSH. Pineapple Express || FAST WESTERN UNION,MONEYGRAM TRANSFER $3000=$300 || PUMP ACTION, GLOC ,M4, SNIP,CHOPPA's & BULLETS || Top grade Full Grams Cartridges (12 Carts =$200) || FAST WESTERNUNION MONEYGRAM TRANSFER$3000 FOR $300",3,please contact us first to receives special price negotiations. WHAT WE PROVIDE.......... All shipments are sent out with the best stealth possible. We follow many protective pr... || experience and professionalism is without a doubt of the highest quality here on the darknet. We want our clients to have the most satisfying experience buying with us and we ar... || experience and professionalism is without a doubt of the highest quality here on the darknet. We want our clients to have the most satisfying experience buying with us and we ar...,5,"Cannabis,Buds - Weed,Concentrates,Cartridges || Other,Self Defense || Pills,Benzos,Pain Management,Muscle Relaxants || Psychedelics,2C-x,Acid - LSD,DMT || Services,E-Currency Exchange,Cash Out",0,,"T: TOP QUALITY COUN**TERFEIT MO*NEY FOR $5000 =$250 || 1 POUND TOP QUALITY GRADE A..A++ SOUR DIESEL | D: PLACE YOUR ORDER NOW AND NOTIFY US TO PROCEED AT ONCE THANKS AND CHEERS.We are suppliers of various products and we have experience in sending all this produ... | C: Services,E-Currency Exchange,Cash Out || Cannabis,Buds - Weed,Concentrates,Cartridges","T: TOP QUALITY XANAX 2MG 100% PURITY.100PILLS=$200 || INSTANT MONEY TRANSFER $3000 for $300 | D: PLACE YOUR ORDER NOW AND NOTIFY US TO PROCEED AT ONCE THANKS AND CHEERS.We are suppliers of various products and we have experience in sending all this produ... | C: Services,E-Currency Exchange,Cash Out || Pills,Benzos,Pain Management,Muscle Relaxants"
8,market_item.xlsx|silk road 3.1|seller_raw:1SRRR1||market_item.xlsx|silk road 3.1|seller_raw:SRRR,en_content_train_pool,en,sockpuppet_primary,text_clone_primary,high,reviewed,positive,codex_seed_v1,Strong same-market text-clone pattern with consistent alias variation.,0,1,1,train,comp_00162,1,market_item.xlsx|silk road 3.1|seller_raw:1SRRR1,market_item.xlsx|silk road 3.1|seller_raw:SRRR,silk road 3.1,silk road 3.1,1SRRR1,SRRR,different_alias,true,profile_lexical_neighbor|shared_description_clone|shared_title_clone|structural_support,18.771102,0.967716,0.982403,0,,4,Super Europ Speed || Special Thai Weed || Light Hard Hash || Sweet Lemon Kush,6,"1gram... Hi everyona this is a very good quality product looking amazing is very good and strong. The delivery time is: UK 1-2 days , Fance-Irland-Sweden 2-4 days others from 3 ... || Special Thai Weed very good for sleep make you very happy, smells very sweet smokes so so nice got alot of it. Delivery Time: UK 1-2 DAYS, FRANCE-IRLAND-SCOTLAND-SWEDEN 2-4 DAYS... || This amnesia haze is just great beautiful smell looking fresh test sweet gives very good high THC: 18-22. Delivery TIME: UK 1-2 DAYS, FRANCE-IRLAND-SWEDEN 2-4 DAYS OTHERS 2-7 DAYS",5,Cocaine || Hash || MDMA || Speed || Weed,0,,"T: Super Europ Speed || Sweet Lemon Kush | D: Squig Hash is very good to smoke before sleep squig hash meins relax very nice products testy and smoke nice and is very chep. Delivery Time: UK 1-2 DAYS, IR... | C: Weed || Hash",T: Special Thai Weed || Sweet Lemon Kush | D: Hi we got master kush here what can i say but this strain i just love it very testy and smelly buds love to smoke this the testy is very sweet THC:18-24 FREE... | C: Weed || MDMA
9,market_item.xlsx|silk road 3.1|seller_raw:Ahero||market_item.xlsx|silk road 3.1|seller_raw:FABIUS007,en_content_train_pool,en,sockpuppet_primary,semantic_structural,medium,reviewed,negative,codex_seed_v1,Generic placeholder listing with no seller-specific evidence beyond empty title and description template.,0,1,1,valid,comp_00167,64,market_item.xlsx|silk road 3.1|seller_raw:Ahero,market_item.xlsx|silk road 3.1|seller_raw:FABIUS007,silk road 3.1,silk road 3.1,Ahero,FABIUS007,different_alias,true,profile_lexical_neighbor|structural_support,8.0,1.0,1.0,0,,0,,0,,1,Weed,0,,T: No Item Name || No Item Name | D: No Description Specified | C: Weed,T: No Item Name || No Item Name | D: No Description Specified | C: Weed
10,market_item.xlsx|silk road 3.1|seller_raw:Redstevens07||market_item.xlsx|silk road 3.1|seller_raw:maskmark,en_content_train_pool,en,sockpuppet_primary,identifier_primary,high,reviewed,positive,codex_seed_v1,Shared seller email embedded as sales contact plus highly overlapping pain-pill sales copy in the same market.,0,1,1,test,comp_00229,1,market_item.xlsx|silk road 3.1|seller_raw:Redstevens07,market_item.xlsx|silk road 3.1|seller_raw:maskmark,silk road 3.1,silk road 3.1,Redstevens07,maskmark,different_alias,true,profile_lexical_neighbor|shared_contact_exact|structural_support,9.769284,0.358648,0.808698,1,email:redstevens07@gmail.com,0,,0,,1,Pills,0,,"T: Pain pill for cheap prices || Pain pill for cheap prices | D: Oxy ,roxy,norcos,percos,and other pills for sale for good and moderate prices and quick and discreet delivery so contact redstevens07@gmail.com or call/text ... | C: Pills","T: oxy 80mg,roxy,percos,norcos and other pain pills for sale || oxy 80mg,roxy,percos,norcos and other pain pills for sale | D: we supply quality pain pills for good and moderate prices you can contact me via redstevens07@gmail.com or call/text (916)312-2770 for more info | C: Pills"
