pair_uid,track,matched_set_id,parent_pair_uid,review_label,seller_uid_left,seller_uid_right,split_name,component_id,fold,evidence_type,silver_train_only,training_sample_weight,seed,variant_index,transform,synthetic_train_only,benchmark_eligible,independent_real_sample,fabricated_identifier_count,fabricated_market_or_provenance
synthetic://step27/v1_1/primary/seed_20260323/primary_matched_000/negative/v00/left||synthetic://step27/v1_1/primary/seed_20260323/primary_matched_000/negative/v00/right,primary,primary_matched_000,market_item.xlsx|茶马古道|seller_raw:/shop/425704||market_item.xlsx|茶马古道|seller_raw:/shop/464140,negative,synthetic://step27/v1_1/primary/seed_20260323/primary_matched_000/negative/v00/left,synthetic://step27/v1_1/primary/seed_20260323/primary_matched_000/negative/v00/right,train,zh_target_strict_cc_2e5c7caaf65dd8e0,0,public_contact_or_url_noise,,0.250000000000,20260323,0,section_order_rotation,1,0,0,0,0
synthetic://step27/v1_1/primary/seed_20260323/primary_matched_000/positive/v00/left||synthetic://step27/v1_1/primary/seed_20260323/primary_matched_000/positive/v00/right,primary,primary_matched_000,market_item.xlsx|茶马古道|seller_raw:/shop/449035||market_item.xlsx|茶马古道|seller_raw:/shop/461222,positive,synthetic://step27/v1_1/primary/seed_20260323/primary_matched_000/positive/v00/left,synthetic://step27/v1_1/primary/seed_20260323/primary_matched_000/positive/v00/right,train,zh_target_strict_cc_2e5c7caaf65dd8e0,0,same_controller_direct_identifier,,0.250000000000,20260323,0,section_order_rotation,1,0,0,0,0
synthetic://step27/v1_1/primary/seed_20260323/primary_matched_000/negative/v01/left||synthetic://step27/v1_1/primary/seed_20260323/primary_matched_000/negative/v01/right,primary,primary_matched_000,market_item.xlsx|茶马古道|seller_raw:/shop/425704||market_item.xlsx|茶马古道|seller_raw:/shop/464140,negative,synthetic://step27/v1_1/primary/seed_20260323/primary_matched_000/negative/v01/left,synthetic://step27/v1_1/primary/seed_20260323/primary_matched_000/negative/v01/right,train,zh_target_strict_cc_2e5c7caaf65dd8e0,0,public_contact_or_url_noise,,0.250000000000,20260323,1,segment_order_permutation_with_layout_normalization,1,0,0,0,0
synthetic://step27/v1_1/primary/seed_20260323/primary_matched_000/positive/v01/left||synthetic://step27/v1_1/primary/seed_20260323/primary_matched_000/positive/v01/right,primary,primary_matched_000,market_item.xlsx|茶马古道|seller_raw:/shop/449035||market_item.xlsx|茶马古道|seller_raw:/shop/461222,positive,synthetic://step27/v1_1/primary/seed_20260323/primary_matched_000/positive/v01/left,synthetic://step27/v1_1/primary/seed_20260323/primary_matched_000/positive/v01/right,train,zh_target_strict_cc_2e5c7caaf65dd8e0,0,same_controller_direct_identifier,,0.250000000000,20260323,1,segment_order_permutation_with_layout_normalization,1,0,0,0,0
synthetic://step27/v1_1/primary/seed_20260323/primary_matched_001/negative/v00/left||synthetic://step27/v1_1/primary/seed_20260323/primary_matched_001/negative/v00/right,primary,primary_matched_001,market_item.xlsx|中文暗网交易市场|seller_raw:438221||market_item.xlsx|中文暗网交易市场|seller_raw:61106,negative,synthetic://step27/v1_1/primary/seed_20260323/primary_matched_001/negative/v00/left,synthetic://step27/v1_1/primary/seed_20260323/primary_matched_001/negative/v00/right,train,zh_target_strict_cc_18a4e6bd2c1b0e47,2,ordinary_negative,,0.250000000000,20260323,0,section_order_rotation,1,0,0,0,0
synthetic://step27/v1_1/primary/seed_20260323/primary_matched_001/positive/v00/left||synthetic://step27/v1_1/primary/seed_20260323/primary_matched_001/positive/v00/right,primary,primary_matched_001,market_item.xlsx|茶马古道|seller_raw:/shop/440200||market_item.xlsx|茶马古道|seller_raw:/shop/450020,positive,synthetic://step27/v1_1/primary/seed_20260323/primary_matched_001/positive/v00/left,synthetic://step27/v1_1/primary/seed_20260323/primary_matched_001/positive/v00/right,train,zh_target_strict_cc_9991bf542ace4262,2,same_controller_style_structural_soft,,0.250000000000,20260323,0,section_order_rotation,1,0,0,0,0
synthetic://step27/v1_1/primary/seed_20260323/primary_matched_001/negative/v01/left||synthetic://step27/v1_1/primary/seed_20260323/primary_matched_001/negative/v01/right,primary,primary_matched_001,market_item.xlsx|中文暗网交易市场|seller_raw:438221||market_item.xlsx|中文暗网交易市场|seller_raw:61106,negative,synthetic://step27/v1_1/primary/seed_20260323/primary_matched_001/negative/v01/left,synthetic://step27/v1_1/primary/seed_20260323/primary_matched_001/negative/v01/right,train,zh_target_strict_cc_18a4e6bd2c1b0e47,2,ordinary_negative,,0.250000000000,20260323,1,segment_order_permutation_with_layout_normalization,1,0,0,0,0
synthetic://step27/v1_1/primary/seed_20260323/primary_matched_001/positive/v01/left||synthetic://step27/v1_1/primary/seed_20260323/primary_matched_001/positive/v01/right,primary,primary_matched_001,market_item.xlsx|茶马古道|seller_raw:/shop/440200||market_item.xlsx|茶马古道|seller_raw:/shop/450020,positive,synthetic://step27/v1_1/primary/seed_20260323/primary_matched_001/positive/v01/left,synthetic://step27/v1_1/primary/seed_20260323/primary_matched_001/positive/v01/right,train,zh_target_strict_cc_9991bf542ace4262,2,same_controller_style_structural_soft,,0.250000000000,20260323,1,segment_order_permutation_with_layout_normalization,1,0,0,0,0
synthetic://step27/v1_1/primary/seed_20260323/primary_matched_002/negative/v00/left||synthetic://step27/v1_1/primary/seed_20260323/primary_matched_002/negative/v00/right,primary,primary_matched_002,market_item.xlsx|茶马古道|seller_raw:/shop/427282||market_item.xlsx|茶马古道|seller_raw:/shop/436862,negative,synthetic://step27/v1_1/primary/seed_20260323/primary_matched_002/negative/v00/left,synthetic://step27/v1_1/primary/seed_20260323/primary_matched_002/negative/v00/right,train,zh_target_strict_cc_2e5c7caaf65dd8e0,0,ordinary_negative,,0.250000000000,20260323,0,section_order_rotation,1,0,0,0,0
synthetic://step27/v1_1/primary/seed_20260323/primary_matched_002/positive/v00/left||synthetic://step27/v1_1/primary/seed_20260323/primary_matched_002/positive/v00/right,primary,primary_matched_002,market_item.xlsx|中文暗网交易市场|seller_raw:264776||market_item.xlsx|茶马古道|seller_raw:/shop/385,positive,synthetic://step27/v1_1/primary/seed_20260323/primary_matched_002/positive/v00/left,synthetic://step27/v1_1/primary/seed_20260323/primary_matched_002/positive/v00/right,train,zh_target_strict_cc_5d2591f16cbcd99a,0,same_controller_style_structural_soft,,0.250000000000,20260323,0,section_order_rotation,1,0,0,0,0
